Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
510172,2020-12-21 19:26:43,4191109180926792,fraud_Botsford PLC,home,45.07,Jennifer,Spencer,F,477 Wheeler Burg,Amanda,OH,43102,39.6251,-82.7552,4512,Farm manager,1992-10-03,a32debcca1fc702d6306bf4a6bfa415e,1387654003,39.621541,-82.79550400000001,0
140873,2020-08-09 19:17:46,6011367958204270,"fraud_Wuckert, Wintheiser and Friesen",home,82.66,Tammy,Ayers,F,1652 James Mews,Hinckley,OH,44233,41.2419,-81.7453,7646,Medical sales representative,1988-09-15,a03a36e389095236d9e0e7fb855f4559,1376075866,40.818592,-82.436485,0
403491,2020-11-27 02:31:38,676275912597,"fraud_Reilly, Heaney and Cole",gas_transport,11.88,Edward,Hensley,M,24318 Dixon Mills,Elk Rapids,MI,49629,44.8955,-85.4082,2223,Chief Financial Officer,1986-01-18,749deb5dcc6cd3e3919e0074d5e08213,1385519498,45.878937,-86.324872,1
552266,2020-12-30 23:36:53,4169759661243568,fraud_Boyer-Reichert,shopping_net,4.09,Jamie,Carr,F,55363 Aaron Circle Suite 450,Lawn,PA,17041,40.2236,-76.538,213,Special educational needs teacher,1972-02-15,0b532f288d5eed0ca001d42e225438a1,1388446613,39.948949,-75.973324,0
197861,2020-08-30 05:44:04,3576431665303017,fraud_Towne LLC,misc_pos,8.67,Jessica,Ward,F,72269 Elizabeth Field Apt. 132,Phoenix,AZ,85020,33.5623,-112.0559,1312922,Contractor,1981-10-24,c7c44458a3137ee30b258c703ae68cdc,1377841444,34.352906,-111.150077,0
27074,2020-06-30 06:56:04,583699482621,fraud_Bahringer-Streich,food_dining,19.82,Jennifer,Jones,F,5572 Kelly Plains Apt. 952,Waupaca,WI,54981,44.3481,-89.1101,15426,"Engineer, civil (contracting)",1936-07-22,e53382e501fbaaa7ab50d19e2da4c662,1372575364,44.139673,-90.04988,0
56473,2020-07-11 00:31:40,584673555952,fraud_Friesen-Stamm,gas_transport,56.96,Jessica,Jordan,F,071 Wise Trace,Coleharbor,ND,58531,47.5196,-101.2332,307,Make,1930-08-13,4fbfae4d862db1f8b80f229dd3a5cbe4,1373502700,47.479815,-101.092619,0
327025,2020-10-24 18:13:29,3521417320836166,fraud_Schmidt and Sons,shopping_net,2.8,Angela,Hodges,F,08236 Kim Hill,Indianapolis,IN,46254,39.849,-86.272,910148,Firefighter,1975-11-30,f44ff49bd4c850ee7e91e48b25bda5cf,1382638409,39.704867,-86.170487,0
378740,2020-11-16 05:01:14,378006354724784,fraud_Heidenreich PLC,grocery_pos,269.38,Christopher,Matthews,M,433 John Heights Apt. 849,Etlan,VA,22719,38.5095,-78.2638,395,Senior tax professional/tax inspector,1982-01-07,9673546d773daf03bb1a5049ff095a6b,1384578074,38.071382,-78.690313,1
306516,2020-10-15 05:53:35,30042378430132,fraud_Pacocha-O'Reilly,grocery_pos,290.54,Connor,Grant,M,0654 Kevin Turnpike Apt. 084,Northport,NY,11768,40.9051,-73.3309,21902,Tour manager,1976-05-16,3b292a501d58f4364444c292ab686bd3,1381816415,40.923037,-73.584108,1
